"media"	"strain"	"medium.strain"	"Ca"	"Cu"	"Fe"	"K"	"Mg"	"Mn"	"Na"	"P"	"Zn"
"1"	"TAP"	"1308"	"TAP 1308"	0.0208	0.00146	0.00235	0.00265	0.0597	0.000826	0.06	0.243	0.000441
"2"	"TAP"	"1308"	"TAP 1308"	0.0178	0.00153	0.00246	0.0026	0.0612	0.00086	0.0677	0.256	0.000437
"3"	"TAP"	"1308"	"TAP 1308"	0.0332	0.000785	0.00211	0.0324	0.0724	0.000957	0.0377	0.323	0.000555
"4"	"TAP"	"1308"	"TAP 1308"	0.038	0.00074	0.002	0.0322	0.0699	0.000879	0.0356	0.311	0.000574
"5"	"TMP"	"1308"	"TMP 1308"	0.231	0.000794	0.00674	0.0321	0.166	0.00514	0.164	0.734	0.00188
"6"	"TMP"	"1308"	"TMP 1308"	0.241	0.000753	0.0066	0.0394	0.161	0.00651	0.141	0.739	0.00225
"7"	"TMP"	"1308"	"TMP 1308"	0.143	0.000526	0.00282	0.0303	0.0828	0.00488	0.111	0.493	0.00116
"8"	"TMP"	"1308"	"TMP 1308"	0.173	0.000259	0.00325	0.043	0.101	0.00652	0.0979	0.624	0.00137
"9"	"Ca"	"1308"	"Ca 1308"	0.00243	0.000869	0.0022	0.00236	0.0626	0.00367	0.062	0.153	0.000585
"10"	"Ca"	"1308"	"Ca 1308"	0.00247	0.000736	0.00177	0.00246	0.0429	0.00298	0.0649	0.115	0.000506
"11"	"Ca"	"1308"	"Ca 1308"	0.00489	0.000637	0.00181	0.0012	0.0377	0.00501	0.045	0.106	0.000397
"12"	"Ca"	"1308"	"Ca 1308"	0.00393	0.000664	0.00223	0.00208	0.04	0.00594	0.0427	0.121	0.000473
"13"	"Cu"	"1308"	"Cu 1308"	0.0212	4.31e-05	0.00239	0.00386	0.0581	0.000766	0.0475	0.19	0.000338
"14"	"Cu"	"1308"	"Cu 1308"	0.0355	4.85e-05	0.00281	0.00237	0.0746	0.000955	0.0517	0.245	0.000417
"15"	"Cu"	"1308"	"Cu 1308"	0.0116	7.68e-05	0.00311	0.00185	0.0568	0.000724	0.0583	0.182	0.000332
"16"	"Cu"	"1308"	"Cu 1308"	0.0148	8.5e-05	0.00338	0.00179	0.0639	0.000837	0.0623	0.205	0.000366
"17"	"Fe"	"1308"	"Fe 1308"	0.00663	0.00233	0.000395	0.00201	0.03	0.000488	0.0502	0.158	0.000751
"18"	"Fe"	"1308"	"Fe 1308"	0.00342	0.000988	0.000298	0.00099	0.015	0.00024	0.0253	0.0769	0.000421
"19"	"Fe"	"1308"	"Fe 1308"	0.00416	0.00283	0.000532	0.00632	0.0493	0.00207	0.142	0.23	0.00205
"20"	"Fe"	"1308"	"Fe 1308"	0.00474	0.00442	0.000762	0.00502	0.0718	0.00302	0.204	0.343	0.00311
